Date,Open,High,Low,Close,Volume
2025-02-10,80.76,80.76,80.76,80.76,3000
2025-03-04,83.77,83.77,83.77,83.77,3000
2025-03-27,76.11,76.11,76.11,76.11,3000
2025-04-06,75.52,75.52,75.52,75.52,3000
2025-04-13,74.33,74.89,74.33,74.47,16000
2025-04-23,74.35,74.35,74.35,74.35,19000
2025-04-28,73.96,73.96,73.96,73.96,7000
2025-05-05,75.77,75.77,75.77,75.77,25000
2025-08-18,83.9,83.9,83.9,83.9,8000
2025-08-31,89.76,89.76,89.76,89.76,4000
2025-10-22,95.77,95.77,95.77,95.77,3000
2025-12-30,84.65,84.65,84.65,84.65,6000
